歌曲名,艺术家,专辑名,id,歌曲来源名称,封面,时长
"Kiss Me, Kill Me",ARI HICKS,"Kiss Me, Kill Me",wy_1483979868,wy,http://p1.music.126.net/k2TAOpRaMwyczdnfhOpEHw==/109951165951970528.jpg,03:02
金风玉露,旅行新蜜蜂,金风玉露,wy_1958200222,wy,http://p1.music.126.net/di7x8ABLM1pM-6W0F5Cckg==/109951167579171575.jpg,04:59
在想你的夜我告诉自己,银河快递,在想你的夜我告诉自己,wy_2065227630,wy,http://p1.music.126.net/XffqU5Cf8ToiitmZrtAAZg==/109951168748589094.jpg,03:26
我的心动被什么打了岔,徐梓淳、五毛,我的心动被什么打了岔,wy_1944652192,wy,http://p1.music.126.net/VS1uPFvr6fc9yuUjNgt3Og==/109951167383090935.jpg,03:21
把氧气挂在云彩,Rex阿红、Mk,把氧气挂在云彩,wy_2110972129,wy,http://p1.music.126.net/GkBAnjgwkX--gw9Q9KBF_w==/109951169199897385.jpg,02:26
寂寞寂寞就好,田馥甄,To Hebe,tx_0041WNvp0LQJBI,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M0000021s3aX36BCI1.jpg,04:35
温泉,许嵩、刘美麟,温泉,wy_1449406576,wy,http://p2.music.126.net/qOPz7RfFFm-DwAjzbf_MfQ==/109951166118817944.jpg,04:43
Generation,tripleS,Acid Angel from Asia <ACCESS>,wy_1993455594,wy,http://p2.music.126.net/DGRariPVl0b5n39uVF2OZQ==/109951169487447132.jpg,02:44
Way Back Home,SHAUN,Take,wy_863046037,wy,http://p2.music.126.net/H6LhX24ts3Va26ojXGQ-jQ==/109951163827768430.jpg,03:34
少年不凡,刘美麟,凡人修仙传 第一季  动画剧原声带,wy_1465288704,wy,http://p2.music.126.net/lvfb_64QYmbib7ccHgDNJA==/109951165165604312.jpg,04:31
若月亮没来 (若是月亮还没来),王宇宙Leto、乔浚丞,若月亮没来（若是月亮还没来）,wy_2119795491,wy,http://p1.music.126.net/Bb50pyrAJzR3ZsjxILnO6A==/109951169278248355.jpg,02:53
南京恋爱通告,银河快递,南京恋爱通告,wy_2094057556,wy,http://p2.music.126.net/1Us05XXpKtEvpjTzj4gl9A==/109951169009146791.jpg,03:40
情歌,梁静茹,现在开始我爱你,wy_254059,wy,http://p2.music.126.net/QKCkMMW_fPDcczRNb0qZyg==/109951168163257789.jpg,04:23
念念,银河快递,念念,wy_2023272991,wy,http://p1.music.126.net/98JhDvsumtDGzzQHB3xHMw==/109951168316859198.jpg,03:47
愿望,胡彦斌,音乐密码,kg_248571,kg,http://imge.kugou.com/stdmusic/480/20211025/20211025204103822895.jpg,03:55
借过一下,周深,借过一下,kg_352355458,kg,http://imge.kugou.com/stdmusic/480/20240514/20240514173302574513.jpg,04:53
杀死那个石家庄人,万能青年旅店,万能青年旅店 同名专辑,kg_304644999,kg,http://imge.kugou.com/stdmusic/480/20210114/20210114180015247495.jpg,05:44
一样的月光,徐佳莹,LaLa首张创作专辑,wy_306665,wy,http://p1.music.126.net/b1hZLgWA9ihXkivZeqo81g==/109951168296446353.jpg,04:00
脆弱星球,杨胖雨,脆弱星球,wy_1453086724,wy,http://p2.music.126.net/Olt-Nk_XlAzNG8acR-iVLQ==/109951166137759900.jpg,03:19
